Date,Close/Last,Volume,Open,High,Low
09/28/2020,$114.24,5850920,$112.87,$114.48,$112.485
09/25/2020,$112.02,5135097,$110.25,$112.56,$109.705
09/24/2020,$110.55,4184905,$108.21,$112.15,$108.15
09/23/2020,$109,3542047,$112.8,$112.83,$108.66
09/22/2020,$112.39,4332243,$111.64,$112.61,$110.64
09/21/2020,$110.57,4562640,$109.92,$110.67,$108.9
09/18/2020,$110.72,8822916,$112.21,$112.65,$107.79
09/17/2020,$111.91,5859348,$110.94,$112.79,$110.11
09/16/2020,$113.76,5759104,$116.41,$117.42,$113.49
09/15/2020,$115.93,4821923,$113.12,$116.15,$112.48
09/14/2020,$112.27,3939425,$112.95,$113.49,$111.64
09/11/2020,$111.58,3098311,$112.28,$113.42,$110.45
09/10/2020,$111.72,3862016,$113.11,$114.95,$111.255
09/09/2020,$113.2,4024445,$111.64,$114.56,$111.64
09/08/2020,$111.57,5686502,$112.63,$113.85,$111.08
09/04/2020,$114.29,4690951,$115.49,$116,$112.21
09/03/2020,$114.84,4411922,$118.702,$119.15,$113.93
09/02/2020,$118.88,3600379,$117.83,$119.2,$117.14
09/01/2020,$116.9,2938637,$116.63,$117.33,$115.95
08/31/2020,$116.68,3926105,$115.49,$117.11,$115.41
08/28/2020,$116.26,2798033,$115.25,$116.35,$114.88
08/27/2020,$115.24,2464847,$116.62,$116.62,$115
08/26/2020,$116.19,2953430,$115.11,$116.24,$114.74
08/25/2020,$115.41,2322267,$115.56,$115.56,$114.6
08/24/2020,$115.26,2713778,$115.03,$116.09,$114.755
08/21/2020,$115.01,2841035,$114.34,$115.25,$113.3821
08/20/2020,$115.4,2268754,$114.56,$115.86,$114.51
08/19/2020,$115.14,2700447,$116.69,$116.93,$114.92
08/18/2020,$116.02,2363260,$117.68,$117.73,$115.86
08/17/2020,$116.87,3308932,$115.98,$117.32,$115.82
08/14/2020,$115.49,2027736,$115.7,$116.09,$114.33
08/13/2020,$115.37,3030470,$115.15,$117.15,$114.89
08/12/2020,$115.25,3512765,$114.27,$116.24,$114.07
08/11/2020,$113.59,4763144,$116.08,$116.2,$113.28
08/10/2020,$116.07,4812695,$115.06,$116.65,$113.6
08/07/2020,$115.09,13771170,$113.24,$118,$113.09
08/06/2020,$108.1,4016593,$107.32,$108.3,$107.18
08/05/2020,$107.9,3114618,$108.74,$109.16,$107.26
08/04/2020,$108.39,2991189,$106.63,$108.42,$106.3838
08/03/2020,$106.88,4548307,$107.98,$108.74,$106.82
07/31/2020,$107.38,4119560,$105.63,$107.42,$105.05
07/30/2020,$105.48,2689603,$104.72,$105.95,$104.59
07/29/2020,$105.78,3606340,$105.22,$106.37,$104.54
07/28/2020,$104.52,3670038,$105,$105.5,$104
07/27/2020,$105.62,7958877,$104.53,$106.27,$104.35
07/24/2020,$104.93,4989983,$104.52,$105.23,$104.23
07/23/2020,$104.51,6640827,$105.21,$105.28,$104.36
07/22/2020,$104.93,4655264,$105.66,$106.34,$104.74
07/21/2020,$105.58,3602530,$106.35,$106.48,$105.25
07/20/2020,$106.14,3632370,$105.4,$106.28,$105.025
07/17/2020,$105.35,4009251,$104.87,$105.73,$104.09
07/16/2020,$104.49,5751199,$104.5,$104.86,$103.4301
07/15/2020,$104.92,4476262,$105.51,$106.08,$104.53
07/14/2020,$105.39,7882234,$103.57,$106.535,$103.57
07/13/2020,$104.52,5752750,$106.89,$107.55,$104.23
07/10/2020,$107.05,4557925,$105.816,$107.19,$105.29
07/09/2020,$106.17,3956566,$106.66,$106.72,$105.05
07/08/2020,$106.61,4300360,$106.25,$106.63,$105.365
07/07/2020,$105.8,5572497,$106.44,$107.59,$105.55
07/06/2020,$106.78,5256628,$106.6,$107.68,$106.2
07/02/2020,$106.01,6411905,$106.95,$107.34,$105.35
07/01/2020,$106.13,9599885,$105.68,$106.25,$103.85
06/30/2020,$104.15,10833810,$105.9,$106.2,$104
06/29/2020,$105.96,9097070,$105.79,$106.26,$103.95
