Date,Close/Last,Volume,Open,High,Low,CrudeOilUSDM
2019-02-21,52.35,7814102,52.5,52.59,51.9,65.76039455782313
2019-02-22,53.12,13392890,52.69,53.15,52.64,65.84171428571429
2019-02-25,52.99,15277140,53.78,53.97,52.9,66.08567346938777
2019-02-26,53.03,11358720,53.08,53.2199,52.28,66.16699319727893
2019-02-27,53.04,10423610,52.95,53.1291,52.27,66.24831292517008
2019-02-28,53.39,18624510,53.0,53.76,52.71,66.32963265306124
2019-03-01,54.2,12304580,54.0,54.4,53.71,66.4109523809524
2019-03-04,53.78,14011760,54.58,54.7,53.255,66.87410068426199
2019-03-05,53.94,10013820,53.9,54.225,53.7,67.02848345203185
2019-03-06,54.8,20451010,53.89,55.46,53.73,67.18286621980172
2019-03-07,54.03,13648970,54.83,55.05,53.61,67.33724898757158
2019-03-08,53.53,10110120,53.45,53.63,53.03,67.49163175534144
2019-03-11,54.35,10726870,53.72,54.745,53.65,67.95478005865104
2019-03-12,54.84,9573351,54.66,55.31,54.54,68.10916282642091
2019-03-13,55.39,9107165,55.03,55.94,55.0,68.26354559419077
2019-03-14,55.4,7300908,55.53,55.87,55.25,68.41792836196063
2019-03-15,56.6,26979810,55.0,57.34,54.9201,68.57231112973051
2019-03-18,56.83,13087270,56.62,57.19,56.44,69.03545943304009
2019-03-19,56.97,9339699,57.17,57.68,56.775,69.18984220080996
2019-03-20,57.16,8795319,57.03,57.69,56.75,69.34422496857982
2019-03-21,57.77,19508070,57.23,58.28,57.2,69.49860773634968
2019-03-22,56.82,10241290,57.68,58.09,56.7548,69.65299050411956
2019-03-25,56.64,6929255,56.58,56.9369,56.07,70.11613880742915
2019-03-26,58.0,16035850,57.15,58.39,56.67,70.27052157519901
2019-03-27,56.91,11905380,57.35,57.665,56.32,70.42490434296887
2019-03-28,56.55,11064020,57.03,57.39,56.34,70.57928711073875
2019-03-29,57.03,8524335,57.0,57.555,56.94,70.7336698785086
2019-04-01,57.81,11937700,57.64,58.15,57.11,71.1968181818182
2019-04-02,58.09,7438715,57.98,58.53,57.66,71.17447496706194
2019-04-03,57.68,11562320,58.2,58.29,57.18,71.15213175230568
2019-04-04,57.86,9902964,57.75,58.61,57.69,71.12978853754942
2019-04-05,57.99,12331840,57.98,58.19,57.685,71.10744532279317
2019-04-08,57.76,8936237,57.79,58.49,57.505,71.04041567852438
2019-04-09,57.44,11712820,57.57,57.66,57.03,71.01807246376812
2019-04-10,56.33,15972490,57.71,57.86,56.1,70.99572924901186
2019-04-11,55.9,13880440,56.44,56.9,55.785,70.9733860342556
2019-04-12,56.95,13461600,56.28,57.17,56.07,70.95104281949934
2019-04-15,57.18,10710850,57.14,57.67,57.025,70.88401317523056
2019-04-16,70.45,85262370,57.46,71.03,57.29,70.8616699604743
2019-04-17,79.08,155953900,78.82,82.52,76.49,70.83932674571804
2019-04-18,79.89,41101250,78.72,80.2,78.0202,70.81698353096178
2019-04-22,81.97,33250190,79.83,82.5,79.3376,70.72761067193674
2019-04-23,86.72,56825660,83.9,87.96,83.27,70.70526745718048
2019-04-24,86.83,40260830,87.04,88.63,85.3,70.68292424242422
2019-04-25,85.07,20660020,86.17,86.32,84.515,70.66058102766796
2019-04-26,86.64,18738320,84.51,86.755,84.21,70.6382378129117
2019-04-29,87.25,17681060,86.4,87.98,85.84,70.57120816864293
2019-04-30,86.13,17522180,86.98,87.4599,86.05,70.54886495388666
2019-05-01,86.37,28211470,87.17,88.22,86.15,70.5265217391304
2019-05-02,87.14,40341970,87.5,90.34,86.15,70.29327910238426
2019-05-03,89.29,21068420,87.76,89.82,87.06,70.06003646563812
2019-05-06,88.25,15682130,86.33,88.695,86.14,69.3603085553997
2019-05-07,85.2,21579490,87.2,88.15,84.78,69.12706591865356
2019-05-08,84.54,15500670,84.85,85.72,84.11,68.8938232819074
2019-05-09,83.78,14515980,83.37,84.8372,82.26,68.66058064516126
2019-05-10,85.84,15955600,83.38,86.3292,83.35,68.42733800841512
2019-05-13,83.89,16689040,83.24,84.85,82.99,67.7276100981767
2019-05-14,86.13,14353740,84.27,86.44,84.0,67.49436746143056
2019-05-15,86.26,11784840,85.55,87.0,84.89,67.26112482468442
2019-05-16,82.81,22498840,83.79,84.8,82.13,67.02788218793827
2019-05-17,81.5,19523410,80.49,83.12,80.0,66.79463955119213
2019-05-20,76.62,32679280,77.95,78.33,76.07,66.09491164095371
2019-05-21,77.75,17282160,78.91,79.04,77.22,65.86166900420756
2019-05-22,69.31,66150730,69.13,71.74,67.97,65.62842636746142
2019-05-23,68.255,31820660,67.02,68.27,65.9,65.39518373071527
2019-05-24,66.21,21419950,68.93,69.15,65.9686,65.16194109396913
2019-05-28,65.37,22667320,66.64,67.71,65.235,64.22897054698457
2019-05-29,65.76,16312640,65.36,66.15,64.76,63.99572791023843
2019-05-30,66.59,11554570,65.97,67.07,65.93,63.76248527349228
2019-05-31,66.82,15060330,65.78,67.84,65.53,63.52924263674614
2019-06-03,66.66,13620740,67.09,68.13,66.28,63.342933333333335
2019-06-04,68.45,15866730,67.61,68.5,66.7,63.3664
2019-06-05,67.02,11779190,68.04,68.33,65.83,63.38986666666666
2019-06-06,67.59,10781680,66.92,67.97,66.265,63.413333333333334
2019-06-07,68.69,10495640,67.69,68.78,67.3,63.4368
2019-06-10,70.54,15229200,69.0,71.46,69.0,63.5072
2019-06-11,71.24,11839510,71.58,72.22,70.2732,63.53066666666667
2019-06-12,69.59,9396217,69.53,70.37,69.2,63.55413333333333
2019-06-13,69.93,6790485,69.97,70.49,69.38,63.5776
2019-06-14,68.72,12119480,68.35,69.12,67.9,63.60106666666667
2019-06-17,69.11,9411062,69.09,69.98,68.9,63.67146666666667
2019-06-18,71.96,14507950,69.69,72.39,69.67,63.69493333333333
2019-06-19,71.8,11999270,72.37,72.62,70.8,63.7184
2019-06-20,72.74,9871805,73.19,73.67,72.228,63.74186666666667
2019-06-21,72.72,15244480,72.31,73.17,72.31,63.76533333333333
2019-06-24,73.16,8893028,72.97,73.45,72.2,63.83573333333333
2019-06-25,72.55,8953434,73.23,74.135,72.52,63.8592
2019-06-26,74.95,13807970,73.76,75.695,73.65,63.882666666666665
2019-06-27,75.43,11151880,75.34,75.9,75.17,63.90613333333334
2019-06-28,76.07,29217470,75.66,76.44,74.81,63.9296
2019-07-01,77.52,17705710,80.67,80.76,77.08,64.0
2019-07-02,77.01,7079400,77.28,77.48,76.62,63.846686217008795
2019-07-03,76.63,5290377,77.07,77.23,76.05,63.6933724340176
2019-07-05,76.66,9220821,74.2,76.72,74.1,63.38674486803519
2019-07-08,76.63,7924854,75.98,77.03,75.93,62.92680351906158
2019-07-09,76.55,7506644,76.44,76.84,75.84,62.773489736070374
2019-07-10,74.36,15075740,76.83,76.91,74.08,62.62017595307917
2019-07-11,73.71,14298370,74.52,75.78,73.299,62.46686217008797
2019-07-12,74.9,8028070,74.25,74.98,73.66,62.313548387096766
2019-07-15,75.43,8898617,75.15,75.9,74.79,61.85360703812316
2019-07-16,75.67,9909569,75.11,76.5,74.55,61.70029325513195
2019-07-17,75.76,20602290,78.57,79.4,75.71,61.54697947214075
2019-07-18,74.37,12585090,74.97,75.35,74.05,61.39366568914954
2019-07-19,75.0,14477780,74.42,75.71,74.42,61.240351906158345
2019-07-22,75.95,9645759,75.06,76.62,75.06,60.78041055718473
2019-07-23,74.12,14420370,75.34,75.59,73.31,60.62709677419353
